"bedrooms","avg_price_millions","avg_area","count"
1,"29.7515454545454545","2.4690909090909091","55"
2,"19.0572800000000000","5.2500000000000000","50"
3,"30.3888888888888889","7.1866666666666667","45"
4,"33.4300000000000000","6.0520000000000000","50"
